NAWQA_ID,DATE,TIME,PFAS,PREP_DATE,MTXSPK
NECBSUS3-06,7/31/2019,1113,N-EtFOSAA,3/4/2020,68.125
NECBSUS3-08,8/8/2019,1113,N-EtFOSAA,3/10/2020,69.625
NECBSUS3-09,8/14/2019,1113,N-EtFOSAA,3/4/2020,75.75
NECBSUS3-10,8/15/2019,1113,N-EtFOSAA,3/4/2020,77.125
NECBSUS3-11,9/3/2019,1113,N-EtFOSAA,3/4/2020,70.375
NECBSUS3-12,9/5/2019,1113,N-EtFOSAA,3/4/2020,69
NECBSUS3-13,9/12/2019,1113,N-EtFOSAA,3/4/2020,77.5
NECBSUS3-20,8/20/2019,1113,N-EtFOSAA,3/4/2020,79.875
NECBSUS3-21,8/22/2019,1113,N-EtFOSAA,3/4/2020,73
NECBSUS3-25,8/21/2019,1113,N-EtFOSAA,3/4/2020,75.125
NECBSUS3-26,9/10/2019,1113,N-EtFOSAA,3/4/2020,73.25
STRVPAS2-01,8/5/2019,1013,N-EtFOSAA,3/4/2020,65.75
STRVPAS2-02,8/5/2019,1513,N-EtFOSAA,3/4/2020,73.875
STRVPAS2-03,8/6/2019,1013,N-EtFOSAA,3/4/2020,70.75
STRVPAS2-04,8/6/2019,1513,N-EtFOSAA,3/4/2020,70.375
STRVPAS2-05,8/7/2019,1113,N-EtFOSAA,3/4/2020,51
NECBSUS3-06,7/31/2019,1113,N-MeFOSAA,3/4/2020,76.625
NECBSUS3-08,8/8/2019,1113,N-MeFOSAA,3/10/2020,79.875
NECBSUS3-09,8/14/2019,1113,N-MeFOSAA,3/4/2020,84.375
NECBSUS3-10,8/15/2019,1113,N-MeFOSAA,3/4/2020,86.5
NECBSUS3-11,9/3/2019,1113,N-MeFOSAA,3/4/2020,79.625
NECBSUS3-12,9/5/2019,1113,N-MeFOSAA,3/4/2020,75.5
NECBSUS3-13,9/12/2019,1113,N-MeFOSAA,3/4/2020,83.25
NECBSUS3-20,8/20/2019,1113,N-MeFOSAA,3/4/2020,90
NECBSUS3-21,8/22/2019,1113,N-MeFOSAA,3/4/2020,80.625
NECBSUS3-25,8/21/2019,1113,N-MeFOSAA,3/4/2020,83.625
NECBSUS3-26,9/10/2019,1113,N-MeFOSAA,3/4/2020,81.375
STRVPAS2-01,8/5/2019,1013,N-MeFOSAA,3/4/2020,76
STRVPAS2-02,8/5/2019,1513,N-MeFOSAA,3/4/2020,83.25
STRVPAS2-03,8/6/2019,1013,N-MeFOSAA,3/4/2020,76.625
STRVPAS2-04,8/6/2019,1513,N-MeFOSAA,3/4/2020,82
STRVPAS2-05,8/7/2019,1113,N-MeFOSAA,3/4/2020,72.875
NECBSUS3-06,7/31/2019,1113,PFBS,3/4/2020,88.27683616
NECBSUS3-08,8/8/2019,1113,PFBS,3/10/2020,88.98305085
NECBSUS3-09,8/14/2019,1113,PFBS,3/4/2020,91.69491525
NECBSUS3-10,8/15/2019,1113,PFBS,3/4/2020,93.58757062
NECBSUS3-11,9/3/2019,1113,PFBS,3/4/2020,86.86440678
NECBSUS3-12,9/5/2019,1113,PFBS,3/4/2020,86.5819209
NECBSUS3-13,9/12/2019,1113,PFBS,3/4/2020,92.03389831
NECBSUS3-20,8/20/2019,1113,PFBS,3/4/2020,98.44632768
NECBSUS3-21,8/22/2019,1113,PFBS,3/4/2020,87.99435028
NECBSUS3-25,8/21/2019,1113,PFBS,3/4/2020,90.6779661
NECBSUS3-26,9/10/2019,1113,PFBS,3/4/2020,92.93785311
STRVPAS2-01,8/5/2019,1013,PFBS,3/4/2020,87.42937853
STRVPAS2-02,8/5/2019,1513,PFBS,3/4/2020,88.4180791
STRVPAS2-03,8/6/2019,1013,PFBS,3/4/2020,84.74576271
STRVPAS2-04,8/6/2019,1513,PFBS,3/4/2020,92.89548023
STRVPAS2-05,8/7/2019,1113,PFBS,3/4/2020,86.01694915
NECBSUS3-06,7/31/2019,1113,PFDA,3/4/2020,78.875
NECBSUS3-08,8/8/2019,1113,PFDA,3/10/2020,80
NECBSUS3-09,8/14/2019,1113,PFDA,3/4/2020,86.125
NECBSUS3-10,8/15/2019,1113,PFDA,3/4/2020,88
NECBSUS3-11,9/3/2019,1113,PFDA,3/4/2020,80.75
NECBSUS3-12,9/5/2019,1113,PFDA,3/4/2020,80.875
NECBSUS3-13,9/12/2019,1113,PFDA,3/4/2020,82.75
NECBSUS3-20,8/20/2019,1113,PFDA,3/4/2020,90.75
NECBSUS3-21,8/22/2019,1113,PFDA,3/4/2020,80.625
NECBSUS3-25,8/21/2019,1113,PFDA,3/4/2020,85.625
NECBSUS3-26,9/10/2019,1113,PFDA,3/4/2020,83.5
STRVPAS2-01,8/5/2019,1013,PFDA,3/4/2020,81.875
STRVPAS2-02,8/5/2019,1513,PFDA,3/4/2020,86.625
STRVPAS2-03,8/6/2019,1013,PFDA,3/4/2020,81.875
STRVPAS2-04,8/6/2019,1513,PFDA,3/4/2020,85.5
STRVPAS2-05,8/7/2019,1113,PFDA,3/4/2020,77.75
NECBSUS3-06,7/31/2019,1113,PFDoA,3/4/2020,87.5
NECBSUS3-08,8/8/2019,1113,PFDoA,3/10/2020,90.875
NECBSUS3-09,8/14/2019,1113,PFDoA,3/4/2020,91.875
NECBSUS3-10,8/15/2019,1113,PFDoA,3/4/2020,93.875
NECBSUS3-11,9/3/2019,1113,PFDoA,3/4/2020,86.75
