NAWQA_ID,DATE,TIME,TURB-RMK,TURB-VA,O2-RMK,O2-VA,PH-RMK,PH-VA,SC-RMK,SC-VA,CA-RMK,CA-VA,MG-RMK,MG-VA,BR-RMK,BR-VA,CL-RMK,CL-VA,SO4-RMK,SO4-VA,TDS-RMK,TDS-VA,NH4-RMK,NH4-VA,NO3-RMK,NO3-VA,ON-RMK,ON-VA,TN-RMK,TN-VA,OP-RMK,OP-VA,DOC-RMK,DOC-VA,B-RMK,B-VA,CR-RMK,CR-VA,FE-RMK,FE-VA,MN-RMK,MN-VA,U-RMK,U-VA,V-RMK,V-VA,3H-RMK,3H-VA,3H_CSU-RMK,3H_CSU-VA,3H_SSCL-RMK,3H_SSCL-VA
MOBLSUS1-23,8/21/2019,1300,,,,,,,,,,1.72,,1.22,,0.011,,1.18,,4.18,,28,<,0.01,<,0.04,<,0.05,<,0.05,<,0.004,,0.33,,5,<,0.5,,15500.0,,722.0,<,0.03,<,0.1,R,0.0,,0.04,,0.04
MOBLSUS1-24,8/22/2019,1100,,3.7,,0.1,,6.9,,179.0,,19.4,,4.33,,0.019,,2.06,,6.22,,107,,0.18,<,0.04,,,,0.18,,0.176,,0.38,,8,<,0.5,,2030.0,,199.0,<,0.03,<,0.1,R,-0.08,,0.03,,0.04
MOBLSUS1-25,10/1/2019,1300,,0.6,,6.4,,4.9,,27.0,,1.21,,0.695,,0.016,,1.59,,1.54,,26,<,0.01,,0.709,<,0.01,,0.72,,0.006,<,0.23,<,5,<,0.5,<,10.0,,1.85,<,0.03,<,0.1,,0.12,,0.03,,0.05
MOBLSUS1-26,10/3/2019,1200,,0.7,,3.4,,5.3,,31.0,,1.26,,0.54,,0.012,,1.67,,1.63,,27,<,0.01,<,0.04,<,0.05,<,0.05,,0.037,,0.28,<,5,<,0.5,,14.5,<,0.4,<,0.03,,0.24,,,,,,
MOBLSUS1-27,10/16/2019,1200,,0.049,,4.8,,5.1,,30.0,,0.754,,0.614,,0.024,,3.44,,0.16,,24,<,0.01,,0.235,,,,0.24,<,0.004,,0.43,<,5,<,0.5,<,10.0,,7.95,<,0.03,<,0.1,,,,,,
MOBLSUS1-28,10/17/2019,1200,,0.8,,6.2,,5.9,,54.0,,6.19,,0.428,<,0.01,,1.41,,0.88,,64,<,0.01,,0.074,,,,0.06,,0.017,,0.36,,6,,3.1,<,10.0,<,0.4,,0.154,,0.49,,,,,,
MOBLSUS1-29,10/22/2019,1200,,0.6,,5.3,,5.1,,33.0,,1.49,,0.873,,0.016,,3.7,,1.08,,35,<,0.01,,0.406,<,0.01,,0.42,<,0.004,,0.57,<,5,,1.2,<,10.0,,7.6,,0.032,,0.1,,,,,,
MOBLSUS1-30,11/13/2019,1300,,0.6,,0.1,,6.2,,117.0,,2.72,,1.52,,0.045,,10.8,,1.03,,52,,0.02,<,0.04,<,0.04,<,0.05,<,0.004,,0.33,<,5,<,0.5,,14000.0,,628.0,<,0.03,<,0.1,,,,,,
MOBLSUS1-31,11/14/2019,1300,,0.4,,5.9,,5.2,,25.0,,1.37,,0.56,,0.02,,2.26,,0.88,,22,,,,,,,,,,,,,<,5,<,0.5,,19.0,,9.85,,0.05,,0.26,,,,,,
NECBLUSRC1-01,7/9/2019,1100,,0.8,,0.3,,6.6,,550.0,,54.3,,7.53,,0.049,,111.0,,25.0,,347,<,0.01,,0.641,,,,0.6,<,0.004,,0.26,,18,<,1.5,<,10.0,<,1.2,,2.17,<,0.3,,3.32,,0.09,,0.04
NECBLUSRC1-02,6/4/2019,1100,,,,0.1,,5.9,,1010.0,,33.8,,6.32,,0.124,,292.0,,7.19,,645,,0.06,<,0.04,<,0.06,,0.12,<,0.004,,3.26,<,10,<,1.0,,188.0,,390.0,<,0.06,<,0.2,,4.96,(,0.13,,0.04
NECBLUSRC1-04,6/5/2019,1300,,,,6.4,,5.6,,260.0,,8.17,,1.49,,0.016,,53.4,,24.9,,159,,0.01,,0.606,,,,0.61,,0.018,,6.03,,25,,1.0,<,10.0,,15.5,<,0.03,,0.13,,4.68,(,0.11,,0.06
NECBLUSRC1-05,6/6/2019,1100,,,,8.0,,5.8,,890.0,,9.09,,1.71,,0.073,,255.0,,10.3,,463,,0.02,,1.39,,,,1.32,,0.011,,0.54,,9,,0.79,,513.0,,18.3,,0.068,,0.46,,4.55,(,0.13,,0.08
NECBLUSRC1-06,6/10/2019,1100,,0.6,,8.4,,5.9,,386.0,,7.12,,1.48,,0.091,,98.4,,14.1,,219,<,0.01,,1.23,<,0.07,,1.3,,0.007,,0.86,,29,<,0.5,<,10.0,,2.33,<,0.03,,0.13,,4.43,(,0.11,,0.05
NECBLUSRC1-07,6/11/2019,1100,,5.6,,7.4,,5.6,,378.0,,6.55,,1.15,,0.046,,103.0,,13.1,,214,<,0.01,,1.64,<,0.03,,1.67,,0.006,,0.94,<,15,,0.68,<,10.0,,13.5,<,0.03,<,0.1,,4.28,(,0.12,,0.04
NECBLUSRC1-08,6/11/2019,1300,,0.9,,3.5,,5.5,,595.0,,25.6,,4.29,,0.046,,189.0,,14.7,,385,<,0.01,,2.12,<,0.03,,2.16,,0.014,,1.3,<,25,<,2.5,<,10.0,,36.4,<,0.03,<,0.5,,4.84,(,0.11,,0.04
NECBLUSRC1-09,6/12/2019,1100,,15.0,,6.7,,5.5,,230.0,,8.4,,1.95,,0.028,,52.7,,8.87,,156,<,0.01,,3.81,,,,3.67,,0.016,,0.76,,14,,2.0,,18.1,,29.6,<,0.03,,0.14,,3.72,(,0.1,,0.05
