NAWQA_ID,DATE,TIME,TURB-RMK,TURB-VA,O2-RMK,O2-VA,PH-RMK,PH-VA,SC-RMK,SC-VA,CA-RMK,CA-VA,MG-RMK,MG-VA,BR-RMK,BR-VA,CL-RMK,CL-VA,SO4-RMK,SO4-VA,TDS-RMK,TDS-VA,NH4-RMK,NH4-VA,NO3-RMK,NO3-VA,ON-RMK,ON-VA,TN-RMK,TN-VA,OP-RMK,OP-VA,DOC-RMK,DOC-VA,B-RMK,B-VA,CR-RMK,CR-VA,FE-RMK,FE-VA,MN-RMK,MN-VA,U-RMK,U-VA,V-RMK,V-VA,3H-RMK,3H-VA,3H_CSU-RMK,3H_CSU-VA,3H_SSCL-RMK,3H_SSCL-VA
STRVPAS2-07,8/8/2019,1300,,,,0.9,,6.8,,798.0,,111.0,,34.3,,0.045,,18.3,,49.3,,470,,0.05,<,0.04,<,0.02,,0.07,,0.085,,0.61,,13,<,0.5,,2740.0,,877.0,,0.262,<,0.1,,2.72,,0.18,,0.13
STRVPAS2-09,6/13/2019,1200,,0.1,E,2.9,,7.2,,612.0,,83.5,,27.9,,0.057,,23.9,,42.0,,370,,0.14,,2.23,,,,2.35,,0.007,,0.36,,34,<,0.5,,43.8,,51.6,,0.423,,0.15,,3.4,,0.21,,0.14
STRVPAS2-10,7/17/2019,1300,,0.4,,1.8,,7.1,,646.0,,84.2,,26.6,,0.062,,31.7,,45.5,,380,<,0.01,,1.69,,,,1.67,,0.018,,0.52,,32,<,0.5,<,10.0,<,0.4,,0.337,,0.29,,5.06,,0.24,,0.13
STRVPAS2-12,8/13/2019,1400,,0.2,,0.2,,7.1,,511.0,,67.0,,16.8,,0.057,,27.4,,56.7,,302,,0.03,,0.265,,0.02,,0.32,,0.024,,0.77,,46,<,0.5,,732.0,,390.0,,1.02,<,0.1,,8.31,,0.33,,0.15
STRVPAS2-14,8/19/2019,1100,,0.2,,4.3,,7.0,,729.0,,94.6,,28.4,,0.038,,36.6,,37.3,,419,<,0.01,,1.6,<,0.03,,1.63,,0.021,,0.41,,47,<,0.5,<,10.0,<,0.4,,0.424,,0.26,,5.09,,0.24,,0.13
STRVPAS2-16,9/3/2019,1200,,0.3,,0.6,,7.2,,473.0,,64.0,,14.7,,0.064,,21.1,,33.7,,275,,0.25,,0.332,,0.04,,0.62,,0.02,,0.65,,39,<,0.5,<,10.0,,113.0,,0.191,,0.14,,7.87,,0.3,,0.13
STRVPAS2-17,9/4/2019,1200,,0.3,,2.0,,7.1,,600.0,,83.6,,23.6,,0.051,,24.1,,14.2,,333,,0.22,,3.78,,0.04,,4.04,,0.006,,0.65,,20,<,0.5,,51.7,,112.0,,0.338,,0.5,,3.69,,0.21,,0.13
STRVPAS2-18,9/5/2019,1200,,0.4,,6.3,,7.1,,653.0,,94.8,,24.0,,0.024,,14.7,,33.5,,382,<,0.01,,12.4,<,1.1,,13.5,,0.016,,0.38,,50,,1.5,<,10.0,<,0.4,,0.426,,0.44,,3.71,,0.21,,0.14
STRVPAS2-20,7/15/2019,1200,,0.5,,0.2,,6.9,,456.0,,57.0,,13.6,,0.069,,24.4,,40.1,,261,,0.38,,0.101,,,,0.43,,0.017,E,0.74,,38,<,0.5,,28.8,,1060.0,,0.292,,0.25,,7.99,,0.3,,0.12
STRVPAS2-21,7/16/2019,1300,,,,0.2,,7.5,,422.0,,53.0,,13.6,,0.047,,20.1,,42.7,,254,,0.09,,0.153,,0.02,,0.26,,0.017,,,,47,<,0.5,<,10.0,,4.13,,0.226,,0.32,,7.2,,0.29,,0.14
STRVPAS2-22,8/13/2019,1200,,0.8,,1.5,,7.2,,619.0,,76.2,,27.0,,0.056,,19.0,,35.5,,366,<,0.01,,1.98,,,,1.92,,0.014,,1.0,,51,<,0.5,,336.0,,276.0,,1.48,,0.15,,3.54,,0.17,,0.09
STRVPAS2-23,8/14/2019,1000,,0.8,,3.4,,6.9,,689.0,,83.8,,22.3,,0.115,,34.1,,58.9,,395,,0.09,,2.27,,,,2.3,,0.016,,4.9,,37,<,0.5,,19.3,,947.0,,0.695,<,0.1,,3.54,,0.17,,0.09
STRVPAS2-25,8/20/2019,1300,,1.0,,0.6,,7.1,,656.0,,90.6,,29.9,,0.069,,17.3,,59.1,,422,,0.05,,4.45,,,,4.28,,0.014,,0.5,,66,<,1.0,,161.0,,154.0,,2.88,,0.28,,2.62,,0.18,,0.13
STRVPAS2-26,8/22/2019,1200,,0.4,,0.6,,7.2,,552.0,,81.4,,23.4,,0.037,,18.4,,45.8,,351,,0.01,,3.21,,,,3.14,,0.01,,0.37,,18,<,0.5,<,10.0,,1.91,,0.343,,0.37,,3.17,,0.18,,0.11
STRVPAS2-27,6/3/2019,1200,,0.3,,4.6,,7.1,,705.0,,94.6,,13.9,,0.074,,57.0,,63.8,,404,<,0.01,,2.66,,,,2.54,,0.006,,0.46,,68,<,0.5,<,10.0,<,0.4,,0.397,<,0.1,,5.17,,0.24,,0.13
STRVPAS2-28,6/4/2019,1000,,0.4,,4.3,,7.0,,728.0,,94.3,,13.7,,0.05,,75.3,,41.3,,424,,0.06,,5.1,,,,4.95,,0.01,,1.13,,89,<,0.5,<,10.0,,105.0,,0.136,,0.14,,6.49,,0.28,,0.13
STRVPAS2-29,6/5/2019,1000,,0.8,,1.8,,7.0,,470.0,,68.2,,10.1,,0.042,,24.4,,45.4,,286,,0.11,,2.09,,,,2.2,,0.029,,0.97,,31,<,0.5,,263.0,,363.0,,0.571,,0.12,,5.56,,0.24,,0.12
STRVPAS2-30,6/10/2019,1100,,0.4,,0.2,,6.5,,457.0,,53.4,,8.03,,0.175,,39.6,,45.2,,266,,0.46,,0.153,,0.01,,0.63,<,0.004,,1.7,,39,<,0.5,,690.0,,922.0,,0.06,<,0.1,,15.73,,0.51,,0.13
STRVPAS2-31,8/15/2019,900,,0.6,,2.1,,6.0,,492.0,,49.9,,11.8,,0.388,,56.0,,62.5,,306,,0.02,,4.84,,,,4.55,,0.029,,0.37,,88,<,0.5,<,10.0,,34.3,<,0.03,<,0.1,,3.68,,0.17,,0.08
STRVPAS2-32,6/12/2019,1000,,0.3,,1.1,,6.7,,572.0,,67.2,,13.8,,0.076,,45.7,,62.5,,354,<,0.01,,1.27,<,0.07,,1.35,,0.01,,1.38,,47,<,0.5,,124.0,,75.7,,0.075,<,0.1,,6.73,,0.26,,0.12
STRVPAS2-33,7/22/2019,1100,,1.0,,0.3,,7.5,,533.0,,59.2,,17.0,,0.114,,39.8,,72.8,,309,<,0.01,,0.093,<,0.06,,0.18,,0.008,,1.23,,58,<,0.5,<,10.0,,126.0,,0.612,,0.16,,6.03,,0.24,,0.1
STRVPAS2-35,7/24/2019,1000,,1.2,,6.8,,7.2,,560.0,,77.4,,17.7,,0.02,,23.9,,40.2,,316,<,0.01,,0.549,,,,0.53,<,0.004,,0.74,,19,<,0.5,<,10.0,<,0.4,,0.523,<,0.1,,4.71,,0.2,,0.09
STRVPAS2-36,7/30/2019,1200,,0.7,,0.05,,7.0,,933.0,,100.0,,30.0,,0.123,,82.9,,59.3,,533,,0.16,<,0.04,<,0.07,,0.23,,0.021,,0.87,,129,<,0.5,,2360.0,,296.0,,2.1,<,0.1,,2.92,,0.15,,0.09
STRVPAS2-37,7/31/2019,1100,,0.8,,0.1,,6.9,,683.0,,91.3,,24.2,,0.045,,29.2,,49.7,,392,,0.11,,0.057,,0.1,,0.26,<,0.004,,11.4,,43,<,0.5,,2490.0,,297.0,,0.826,<,0.1,,5.54,,0.24,,0.11
STRVPAS2-39,8/12/2019,1200,,0.8,,0.8,,6.8,,441.0,,55.5,,10.7,,0.093,,28.0,,44.6,,269,,0.1,,0.303,,,,0.38,,0.009,,1.25,,23,<,0.5,<,10.0,,910.0,,0.297,<,0.1,,8.24,,0.29,,0.08
STRVPAS2-41,8/20/2019,1000,,0.3,,0.1,,7.4,,485.0,,66.4,,12.3,,0.093,,25.3,,36.2,,287,,0.17,<,0.04,<,0.01,,0.18,,0.005,,1.08,,23,<,0.5,,197.0,,50.9,,0.474,<,0.1,,9.01,,0.34,,0.12
STRVPAS2-43,8/28/2019,1100,,0.1,,0.3,,7.4,,722.0,,97.4,,19.2,,0.056,,46.3,,118.0,,442,,0.03,,1.06,,0.02,,1.17,,0.007,,0.58,,48,<,0.5,,269.0,,484.0,,0.288,<,0.1,,3.71,,0.18,,0.1
STRVPAS2-45,9/5/2019,1100,,0.1,,0.2,,7.0,,355.0,,36.6,,14.1,,0.057,,11.9,,2.42,,182,,0.84,<,0.04,<,0.22,,1.06,<,0.004,,1.35,,20,<,0.5,,6180.0,,380.0,,0.05,<,0.1,,4.99,,0.21,,0.1
STRVPAS2-46,9/10/2019,1000,,0.2,,0.2,,7.4,,714.0,,99.0,,21.4,,0.052,,42.2,,109.0,,419,,0.02,,0.259,,0.04,,0.32,,0.011,,0.4,,61,<,0.5,,581.0,,328.0,,0.409,<,0.1,,3.89,,0.18,,0.09
STRVPAS2-47,9/11/2019,1000,,0.1,,0.2,,7.5,,571.0,,65.3,,11.4,,0.087,,44.1,,86.1,,337,,0.03,,0.059,,0.02,,0.11,,0.009,,0.56,,62,<,0.5,<,10.0,,38.1,,0.061,,0.12,,22.55,,0.69,,0.13
STRVPAS2-48,9/12/2019,1100,,0.1,,0.8,,7.2,,610.0,,79.5,,19.5,,0.045,,29.3,,55.9,,360,,0.02,,1.47,,0.08,,1.57,,0.025,,0.67,,41,<,0.5,<,10.0,,23.6,,0.422,,0.11,,4.97,,0.22,,0.11
STRVPAS2-49,9/17/2019,1100,,0.6,,0.5,,6.9,,755.0,,102.0,,22.3,,0.091,,40.0,,69.6,,449,,0.13,,0.806,,0.06,,1.0,,0.011,,0.65,,48,<,1.5,,1080.0,,566.0,,0.488,<,0.3,,7.21,,0.27,,0.11
STRVPAS2-50,9/19/2019,1100,,0.1,,2.2,,7.1,,600.0,,82.5,,27.5,,0.022,,8.86,,16.4,,333,<,0.01,,7.67,<,0.11,,7.78,,0.014,,0.32,,11,<,0.5,<,10.0,,37.8,,1.1,,0.38,,3.19,,0.19,,0.13
STRVPAS2-51,9/24/2019,1100,,0.1,,0.2,,7.9,,378.0,,41.6,,11.4,,0.032,,17.6,,46.0,,216,<,0.01,,0.407,<,0.07,,0.57,<,0.004,,1.0,,24,<,0.5,,50.9,,285.0,,0.359,,0.13,,8.56,,0.32,,0.13
STRVPAS2-52,7/22/2019,1200,,,,0.3,,7.1,,592.0,,65.9,,9.21,,0.08,,59.9,,97.2,,348,,0.17,,0.328,,0.04,,0.54,,0.01,,1.35,,81,<,0.5,,84.1,,672.0,,0.09,<,0.1,,7.54,,0.3,,0.13
STRVPAS2-53,7/23/2019,800,,,,3.6,,6.7,,732.0,,69.9,,22.3,,0.03,,108.0,,40.6,,413,,0.01,,0.38,,0.07,,0.46,,0.01,,0.55,,42,<,0.5,,11.8,,2.41,,0.56,,0.17,,5.85,,0.26,,0.13
STRVPAS2-54,7/23/2019,1200,,,,1.3,,7.0,,678.0,,87.4,,11.9,,0.08,,58.9,,87.5,,413,,0.01,,2.43,,,,2.4,,0.01,,1.31,,52,<,0.5,,10.9,,60.3,,0.09,<,0.1,,6.75,,0.28,,0.13
STRVPAS2-55,7/24/2019,900,,,,5.7,,6.2,,412.0,,38.3,,7.7,,0.04,,62.0,,31.1,,244,<,0.01,,3.43,,,,3.29,,0.02,,0.59,,32,<,0.5,<,10.0,<,0.4,,0.03,<,0.1,,5.61,,0.27,,0.14
STRVPAS2-56,7/29/2019,1200,,,,2.4,,6.6,,187.0,,12.4,,4.65,,0.103,,10.6,,3.96,,117,,0.01,,0.391,,,,0.36,,0.042,<,0.23,,32,<,0.5,<,10.0,,0.88,<,0.03,<,0.1,,1.71,,0.14,,0.11
STRVPAS2-57,7/30/2019,900,,,,8.3,,6.6,,254.0,,40.6,,6.02,,0.015,,4.37,,6.5,,145,<,0.01,,1.3,,,,1.29,<,0.004,,0.81,,13,<,0.5,,11.3,<,0.4,,0.048,<,0.1,,7.3,,0.3,,0.13
STRVPAS2-59,7/31/2019,900,,,,0.2,,7.6,,225.0,,31.5,,6.0,,0.04,,11.5,,3.9,,133,,0.1,,0.09,,0.07,,0.26,<,0.004,,1.11,,9,<,0.5,<,10.0,,31.6,,0.04,<,0.1,,8.88,,0.38,,0.13
SURFPAS1-01,10/28/2019,1000,,0.2,,0.3,,6.6,,1300.0,,136.0,,15.9,,0.734,,227.0,,33.7,,740,,0.31,<,0.04,<,0.14,,0.46,,0.016,,2.93,,66,<,1.0,,84.6,,21.9,<,0.06,,0.31,,1.23,,0.13,,0.1
SURFPAS1-02,10/28/2019,1800,,1.2,,6.2,,6.7,,1010.0,,132.0,,8.17,,0.399,,150.0,,37.7,,609,,0.62,<,0.032,<,0.39,,1.01,,0.039,,10.0,,61,<,1.0,,362.0,,6.94,<,0.06,,2.1,,1.07,,0.14,,0.12
SURFPAS1-04,10/29/2019,1000,,0.1,,0.01,,7.0,,640.0,,98.4,,14.2,,0.379,,29.6,,12.0,,388,,0.61,<,0.04,<,0.44,,1.05,,0.062,,12.0,,57,,0.55,,62.8,,4.93,<,0.03,,1.7,,0.57,,0.13,,0.12
SURFPAS1-05,10/29/2019,1700,,0.2,,0.01,,6.5,,647.0,,120.0,,4.44,,0.124,,25.7,,16.6,,404,,0.63,<,0.04,<,0.42,,1.05,,0.018,,9.59,,37,,0.58,,2500.0,,13.4,,0.122,,2.8,,1.18,,0.15,,0.12
SURFPAS1-06,10/29/2019,1400,,0.2,,0.0,,6.8,,675.0,,117.0,,7.54,,0.172,,27.6,,119.0,,445,,0.69,<,0.04,<,0.4,,1.09,,0.054,,8.14,,32,<,0.5,,3380.0,,18.2,,0.404,,2.6,,1.48,,0.16,,0.12
SURFPAS1-07,10/30/2019,1500,,0.2,,0.04,,6.6,,745.0,,134.0,,3.58,E,0.171,,46.1,,1.15,,451,,0.39,<,0.04,<,0.66,,1.05,,0.015,,14.2,,26,<,0.5,,3390.0,,20.5,<,0.03,,3.0,,1.19,,0.14,,0.11
SURFPAS1-10,10/30/2019,1000,,0.2,,0.2,,6.4,,761.0,,134.0,,6.18,,0.084,,28.6,,75.8,,479,,0.27,<,0.04,<,0.26,,0.53,,0.016,,5.69,,51,<,0.5,,2120.0,,15.5,,0.253,,0.61,,1.49,,0.15,,0.12
SURFPAS1-11,11/12/2019,1100,,0.2,,0.01,,6.9,,653.0,,115.0,,2.28,,0.143,,35.8,,33.1,,405,,0.5,<,0.04,<,0.32,,0.83,,0.039,,6.63,,26,,0.76,<,10.0,,4.02,<,0.03,,0.76,,1.17,,0.14,,0.11
SURFPAS1-13,11/13/2019,1100,,0.3,,0.0,,6.9,,604.0,,107.0,,3.38,,0.133,,34.5,,15.8,,396,,0.67,<,0.04,<,0.87,,1.54,,0.696,,19.0,,36,,2.4,,196.0,,6.0,,0.079,,1.9,,0.99,,0.14,,0.13
SURFPAS1-14,11/11/2019,1200,,0.2,,0.2,,7.2,,508.0,,72.2,,1.61,,0.07,,35.3,,25.3,,294,,0.02,,0.288,,0.12,,0.44,,0.038,,3.36,,29,<,0.5,,46.1,,7.88,,0.628,,0.34,,1.09,,0.15,,0.13
SURFPAS1-15,11/11/2019,900,,0.3,,0.1,,7.0,,1170.0,,118.0,,13.6,,0.466,,158.0,,55.3,,688,,0.57,<,0.04,<,0.42,,1.0,,0.036,,8.07,,126,<,1.0,,10.6,,2.86,<,0.06,,0.85,,1.23,,0.13,,0.11
SURFPAS1-16,11/14/2019,1600,,0.5,,0.04,,6.6,,730.0,,121.0,,4.85,,0.114,,45.9,,39.1,,445,,0.75,<,0.04,<,0.53,,1.28,,0.036,,8.51,,46,,1.1,<,10.0,,6.14,<,0.03,,0.98,,,,,,
SURFPAS1-17,11/19/2019,1300,,0.2,,0.0,,7.2,,525.0,,81.1,,3.73,,0.088,,40.4,,7.67,,317,,0.61,<,0.038,<,0.43,,1.04,,0.081,,7.63,,40,,0.51,,134.0,,5.7,<,0.03,,0.66,,1.34,,0.15,,0.12
SURFPAS1-18,11/19/2019,900,,0.2,,0.04,,6.9,,677.0,,120.0,,4.63,,0.125,,47.3,,20.6,,421,,0.86,<,0.038,<,0.9,,1.76,,0.16,,13.3,,49,,1.0,,528.0,,8.59,<,0.03,,1.3,,1.07,,0.15,,0.13
SURFPAS1-20,12/3/2019,1400,,0.1,,0.04,,7.2,,584.0,,89.1,,6.82,,0.093,,31.7,,0.08,,364,,0.48,<,0.04,<,0.33,,0.8,,0.012,,9.27,,82,,0.64,<,10.0,,2.48,<,0.03,,0.35,R,0.04,,0.14,,0.14
SURFPAS1-22,11/20/2019,1200,,0.2,,0.1,,6.9,,585.0,,111.0,,2.21,,0.073,,19.1,,17.2,,353,,0.26,<,0.04,<,0.14,,0.41,,0.568,,5.07,,32,<,0.5,,1090.0,,11.0,<,0.03,,0.61,,1.0,,0.14,,0.13
SURFPAS1-23,11/20/2019,1500,,0.2,,0.01,,7.0,,591.0,,103.0,,2.68,,0.105,,35.1,,4.28,,356,,0.56,<,0.04,<,0.21,,0.77,,0.305,,6.7,,31,<,0.5,,678.0,,13.9,<,0.03,,0.69,,0.86,,0.15,,0.14
SURFPAS1-24,11/21/2019,1400,,0.3,,0.1,,6.9,,1160.0,,150.0,,4.57,,0.21,,169.0,,9.86,,667,,0.42,<,0.037,<,0.45,,0.87,,0.237,,11.5,,40,<,1.0,,5340.0,,12.6,<,0.06,,0.84,,0.96,,0.15,,0.13
SURFPAS1-25,11/21/2019,900,,0.2,,0.1,,6.8,,767.0,,136.0,,4.02,,0.142,,43.1,,18.9,,480,,0.78,<,0.038,<,0.51,,1.29,,0.319,,12.6,,38,<,0.5,,3680.0,,10.8,<,0.03,,0.81,,0.98,,0.14,,0.13
SURFPAS1-26,12/4/2019,1300,,0.2,,0.01,,7.1,,1130.0,,117.0,,15.4,,0.596,,189.0,,56.3,,657,,0.67,<,0.04,<,0.52,,1.19,,0.39,,11.7,,69,<,1.0,,87.7,,20.7,,0.06,,1.8,,1.55,,0.17,,0.14
SURFPAS1-28,12/5/2019,1400,,2.0,,0.1,,7.1,,938.0,,136.0,,7.05,,0.406,,134.0,,7.48,,546,,0.57,,0.048,,0.15,,0.78,,0.256,,6.61,,36,<,1.5,,53.8,,10.0,<,0.09,<,0.3,,0.41,,0.16,,0.15
SURFPAS1-30,11/18/2019,1300,<,0.1,,0.0,,6.7,,906.0,,155.0,,6.24,,0.268,,89.7,,22.9,,601,,0.27,<,0.04,<,0.17,,0.44,,0.37,,6.05,,27,<,0.5,,21.2,,14.3,<,0.03,,0.3,,0.83,,0.15,,0.14
SURFPAS1-31,11/19/2019,900,,0.1,,0.0,,7.3,,606.0,,83.0,,3.46,,0.197,,64.6,,28.3,,348,,0.22,<,0.036,<,0.15,,0.37,,0.328,,2.5,,28,<,0.5,,3810.0,,36.1,<,0.03,,0.12,,1.61,,0.17,,0.14
SURFPAS1-32,11/19/2019,1300,,0.2,,0.0,,7.0,,920.0,,115.0,,8.24,,0.357,,115.0,,48.2,,504,,0.33,,0.064,,0.08,,0.47,,0.023,,3.26,,30,<,0.5,,1940.0,,10.6,,0.31,,0.13,,0.73,,0.16,,0.15
SURFPAS1-33,11/21/2019,900,,0.1,,0.3,,6.9,,630.0,,119.0,,2.56,,0.101,,27.0,,1.02,,382,,0.15,<,0.04,<,0.17,,0.32,,0.741,,7.33,,31,,0.65,,1270.0,,24.5,<,0.03,,0.55,,1.02,,0.17,,0.15
SURFPAS1-34,11/20/2019,900,,0.1,,0.0,,7.0,,668.0,,106.0,,4.53,,0.145,,48.9,,8.09,,397,,0.19,<,0.04,<,0.11,,0.3,,0.504,,4.02,,33,<,0.5,,664.0,,22.3,<,0.03,,0.34,,0.42,,0.16,,0.16
SURFPAS1-35,11/20/2019,1300,,0.1,,0.0,,7.0,,625.0,,124.0,,2.37,,0.057,,18.7,,0.08,,378,,0.21,<,0.04,<,0.09,,0.29,,0.597,,5.01,,15,<,0.5,,579.0,,24.8,<,0.03,,0.12,,0.34,,0.13,,0.13
SURFPAS1-36,11/21/2019,1400,,0.3,,0.5,,6.8,,770.0,,154.0,,2.22,,0.112,,23.3,,0.07,,505,,1.01,<,0.04,<,1.3,,2.32,,0.169,,31.0,,15,,0.87,,495.0,,9.27,,0.124,,2.7,,1.39,,0.16,,0.13
SURFPAS1-37,9/24/2019,1400,,0.1,,0.0,,7.6,,502.0,,40.0,,23.2,,0.046,,11.0,,86.3,,330,,0.15,<,0.04,<,0.02,,0.18,,0.016,,0.97,,71,<,0.5,<,10.0,,1.16,<,0.03,<,0.1,,0.21,,0.13,,0.12
SURFPAS1-38,9/25/2019,1330,,0.1,,0.0,,7.6,,502.0,,69.5,,15.6,,0.048,,15.4,,0.1,,279,,0.18,<,0.04,<,0.06,,0.24,,0.336,,1.57,,21,<,0.5,,566.0,,61.1,<,0.03,<,0.1,,0.14,,0.12,,0.11
SURFPAS1-39,9/25/2019,1000,,0.1,,0.0,,7.4,,451.0,,58.2,,11.7,,0.045,,14.1,,12.8,,283,,0.21,<,0.04,<,0.05,,0.26,,0.011,,2.31,,50,<,0.5,<,10.0,,0.6,<,0.03,<,0.1,,0.3,,0.11,,0.11
SURFPAS1-40,9/26/2019,930,,0.2,,0.0,,7.7,,343.0,,26.0,,10.9,,0.03,,6.4,,18.3,,211,,0.09,<,0.04,,,,0.09,,0.021,,0.58,,43,<,0.5,,35.6,,22.1,<,0.03,<,0.1,,0.18,,0.13,,0.12
SURFPAS1-41,9/18/2019,1300,,0.2,<,0.1,,7.3,,1480.0,,77.5,,16.6,,1.14,,338.0,,33.4,,833,,0.14,<,0.04,<,0.07,,0.21,,0.032,,0.71,,182,<,1.0,,92.7,,25.7,<,0.06,<,0.2,,0.1,,0.1,,0.09
SURFPAS1-42,11/14/2019,1300,,0.2,<,0.1,,7.3,,2000.0,,124.0,,20.2,,1.73,,504.0,,61.8,,1110,,0.28,<,0.04,<,0.07,,0.35,,0.122,,1.66,,114,<,1.0,,352.0,,22.3,<,0.06,,0.26,,0.72,,0.13,,0.11
SURFPAS1-44,8/27/2019,1300,,0.2,,0.2,,7.0,,494.0,,84.8,,6.78,,0.05,,15.0,,0.06,,310,,0.4,<,0.04,<,0.06,,0.46,,0.024,,4.71,,29,<,0.5,,28.5,,2.74,<,0.03,<,0.1,,0.38,,0.13,,0.13
SURFPAS1-45,9/17/2019,1300,,0.2,<,0.1,,7.2,,415.0,,71.8,,2.31,,0.049,,16.6,,0.07,,252,,0.03,<,0.04,<,0.03,,0.07,,0.099,,1.27,,14,<,0.5,,2420.0,,129.0,<,0.03,<,0.1,,1.12,,0.14,,0.12
SURFPAS1-U02,10/31/2019,1400,,0.3,,0.01,,6.6,,897.0,,132.0,,7.6,,0.443,,105.0,,11.0,,537,,0.34,<,0.04,<,0.41,,0.75,,0.207,,15.3,,59,,0.76,,987.0,,7.1,,0.043,,2.3,,0.98,,0.14,,0.13
SURFPAS1-U03,11/12/2019,900,,0.2,,0.03,,6.9,,655.0,,110.0,,2.92,,0.156,,40.0,,30.0,,408,,0.56,<,0.04,<,0.38,,0.95,,0.044,,7.61,,32,,0.76,<,10.0,,2.82,<,0.03,,0.7,,1.13,,0.15,,0.13
SURFPAS1-U04,11/13/2019,1400,,0.3,,0.03,,7.2,,498.0,,70.3,,3.91,,0.116,,47.2,,10.0,,306,,0.59,<,0.04,<,0.58,,1.18,,0.224,,9.59,,42,,1.1,,51.3,,3.18,<,0.03,,1.5,,1.34,,0.16,,0.13
SURFPAS1-U05,11/13/2019,900,,0.2,,0.02,,7.0,,694.0,,107.0,,3.35,,0.206,,59.3,,21.9,,426,,1.31,<,0.04,<,0.67,,1.98,,0.054,,11.1,,50,,1.6,,15.8,,3.6,<,0.03,,1.5,,0.55,,0.14,,0.13
SURFPAS1-U06,11/14/2019,1000,,0.2,,0.01,,7.4,,839.0,,70.5,,3.47,,0.14,,157.0,,38.0,,465,,0.03,<,0.04,<,0.11,,0.14,,0.061,,3.14,,38,<,0.5,,351.0,,6.37,,0.92,,0.15,,1.24,,0.14,,0.12
SURFPAS1-U07,11/11/2019,1500,,0.3,,0.01,,7.2,,514.0,,80.4,,2.4,,0.116,,36.2,,5.72,,300,,1.46,<,0.04,<,0.31,,1.77,,0.047,,4.75,,27,<,0.5,,12.8,,2.57,<,0.03,,0.15,,0.8,,0.15,,0.13
SURFPAS1-U08,11/18/2019,1000,,0.2,,0.04,,7.0,,588.0,,106.0,,4.27,,0.067,,36.9,,15.9,,376,,0.65,<,0.04,<,0.52,,1.17,,0.052,,11.5,,34,,1.4,,159.0,,6.52,,0.045,,1.5,,1.18,,0.14,,0.12
SURFPAS1-U09,11/14/2019,1300,,0.2,,0.01,,6.9,,701.0,,110.0,,4.82,,0.141,,51.3,,16.3,,426,,0.74,<,0.04,<,0.63,,1.37,,0.035,,9.79,,39,,0.94,<,10.0,,8.7,<,0.03,,0.99,,0.99,,0.16,,0.14
SURFPAS1-U10,11/18/2019,1300,,0.4,,0.0,,7.0,,716.0,,115.0,,6.12,,0.152,,56.3,,27.0,,466,,0.84,<,0.04,<,0.54,,1.38,,0.06,,9.69,,60,,1.0,,162.0,,8.55,<,0.03,,1.6,,1.42,,0.15,,0.12
SURFPAS1-U11,12/2/2019,1400,,0.2,,0.1,,7.1,,581.0,,101.0,,2.69,,0.084,,30.4,,0.1,,350,,0.4,<,0.039,<,0.19,,0.59,,0.129,,7.03,,29,<,0.5,,2800.0,,8.13,<,0.03,,0.38,,0.49,,0.14,,0.13
SURFPAS1-U12,11/21/2019,1200,,0.2,,0.1,,7.0,,877.0,,121.0,,10.7,,0.161,,78.8,,21.9,,529,,0.49,<,0.04,<,0.41,,0.89,,0.024,,9.62,,64,,0.56,,913.0,,11.2,<,0.03,,0.42,,1.06,,0.17,,0.15
SURFPAS1-U14,9/24/2019,1000,,0.3,,0.0,,7.6,,470.0,,40.7,,19.0,,0.045,,10.8,,70.7,,309,,0.15,<,0.04,<,0.02,,0.17,,0.016,,1.19,,55,<,0.5,<,10.0,,0.66,<,0.03,<,0.1,,0.28,,0.12,,0.11
